semantic_cluster,cluster_name,cluster_confidence,sentiment,sentiment_score,umap_x,umap_y,Reports,processed_text
9,🎓 Teaching Quality & Engagement,0.98,Positive,0.2516,12.364432,-0.90139,There have been several honor code violations in this course and it's really disappointing. I thought this was a place of higher learning and respect for academic integrity.,there have been several honor code violations in this course and its really disappointing i thought this was a place of higher learning and respect for academic integrity
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.3818,12.441628,-0.986365,The grading rubric for this course is confusing and doesn't make sense. I don't understand how my grade is being calculated and it's causing me a lot of anxiety.,the grading rubric for this course is confusing and doesnt make sense i dont understand how my grade is being calculated and its causing me a lot of anxiety
9,🎓 Teaching Quality & Engagement,0.98,Positive,0.8112,12.414896,-1.034256,I feel like my professor doesn't care about my success in this course. They don't give us enough support or resources to do well.,i feel like my professor doesnt care about my success in this course they dont give us enough support or resources to do well
9,🎓 Teaching Quality & Engagement,0.98,Positive,0.3612,12.675646,-1.036268, The textbooks for this course are outdated and don't provide enough information. I feel like I'm not getting the education I paid for., the textbooks for this course are outdated and dont provide enough information i feel like im not getting the education i paid for
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.6697,12.392118,-1.152866, I am really frustrated with the lack of transparency in this course. The professor doesn't communicate with us clearly and it's causing a lot of confusion., i am really frustrated with the lack of transparency in this course the professor doesnt communicate with us clearly and its causing a lot of confusion
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.3252,12.78998,-0.840582, The teaching assistants for this course are not helpful at all. They don't know the material and can't answer any of my questions., the teaching assistants for this course are not helpful at all they dont know the material and cant answer any of my questions
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.1531,12.458473,-0.989421, The grading scale for this course is too harsh. It's almost impossible to get an A and it's discouraging me from trying my best., the grading scale for this course is too harsh its almost impossible to get an a and its discouraging me from trying my best
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.4767,12.372613,-0.777921, I am disappointed with the quality of education I am receiving in this course. I expected more from a university., i am disappointed with the quality of education i am receiving in this course i expected more from a university
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.6249,12.563768,-1.03373, The professor for this course is disorganized and doesn't seem to have a plan. I am not learning anything and it's frustrating., the professor for this course is disorganized and doesnt seem to have a plan i am not learning anything and its frustrating
4,💰 Financial Aid & Administration,0.9162,Negative,-0.4588,7.43332,7.238699, The cost of attending this university is outrageous. I don't know how I'm going to afford it., the cost of attending this university is outrageous i dont know how im going to afford it
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.5559,12.728275,-1.107725, The textbook for this course is not helpful at all. It's poorly written and doesn't explain anything clearly., the textbook for this course is not helpful at all its poorly written and doesnt explain anything clearly
5,🌍 Diversity & Inclusion Support,0.98,Negative,-0.3182,9.997952,11.951363, I am very concerned about the lack of diversity in this course. We are not getting a well-rounded education., i am very concerned about the lack of diversity in this course we are not getting a wellrounded education
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.0675,12.399514,-1.139965, The professor for this course is biased and it's affecting my grade. They seem to have favorites and it's not fair., the professor for this course is biased and its affecting my grade they seem to have favorites and its not fair
2,📚 Academic Support & Wellbeing,0.98,Neutral,0.0,13.812724,5.633397, The workload for this course is overwhelming. I don't have enough time to complete everything and it's affecting my other classes., the workload for this course is overwhelming i dont have enough time to complete everything and its affecting my other classes
9,🎓 Teaching Quality & Engagement,0.3207,Positive,0.9216,8.465326,2.095247, I wish there were more opportunities for extra credit in this course. It would help my grade and encourage me to learn more., i wish there were more opportunities for extra credit in this course it would help my grade and encourage me to learn more
9,🎓 Teaching Quality & Engagement,0.98,Positive,0.5423,12.429152,-1.081041, The professor for this course is not approachable. I am scared to ask them for help and it's hindering my success., the professor for this course is not approachable i am scared to ask them for help and its hindering my success
4,💰 Financial Aid & Administration,0.6948,Positive,0.2263,7.767016,7.354974, The course fees are too high for what we're getting. We're not getting our money's worth., the course fees are too high for what were getting were not getting our moneys worth
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.1027,12.384764,-1.034275, The grading system for this course is too subjective. It's hard to know what the professor wants and it's affecting my grade., the grading system for this course is too subjective its hard to know what the professor wants and its affecting my grade
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.4404,12.44811,-1.097009, The professor for this course is disinterested and it shows in their lectures. I am not learning anything and it's frustrating., the professor for this course is disinterested and it shows in their lectures i am not learning anything and its frustrating
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.6486,12.679427,-1.071343, The textbook for this course is full of errors and mistakes. It's hard to learn from something that's not accurate., the textbook for this course is full of errors and mistakes its hard to learn from something thats not accurate
9,🎓 Teaching Quality & Engagement,0.98,Negative,-0.3182,12.422591,-0.807183, I am concerned about the lack of academic rigor in this course. We, i am concerned about the lack of academic rigor in this course we
10,💻 Online Learning & Platform Issues,0.335,Positive,0.1027,14.369536,1.08192,Limited access to technology and software is hindering my ability to do my coursework. I can't afford to buy expensive programs on my own.,limited access to technology and software is hindering my ability to do my coursework i cant afford to buy expensive programs on my own
9,🎓 Teaching Quality & Engagement,0.303,Negative,-0.7956,7.992058,2.343399,I'm trying to graduate early but there are only a few courses available that I need to take. It's frustrating that my options are so limited.,im trying to graduate early but there are only a few courses available that i need to take its frustrating that my options are so limited
10,💻 Online Learning & Platform Issues,0.4141,Negative,-0.1027,12.8297,0.80776,The online system for accessing course materials is always down or glitchy. It's hard to get work done when I can't even access my assignments.,the online system for accessing course materials is always down or glitchy its hard to get work done when i cant even access my assignments
3,🔬 Research & Technology Resources,0.98,Positive,0.8766,10.280485,-0.449399,I wish there were more opportunities to access research databases and materials outside of the library. It would be nice to have more options and flexibility.,i wish there were more opportunities to access research databases and materials outside of the library it would be nice to have more options and flexibility
9,🎓 Teaching Quality & Engagement,0.6453,Neutral,-0.024,12.933896,0.126123,It's really difficult to find the course materials I need for my classes because they're spread out across so many different resources. I wish there was a more streamlined system.,its really difficult to find the course materials i need for my classes because theyre spread out across so many different resources i wish there was a more streamlined system
9,🎓 Teaching Quality & Engagement,0.3036,Negative,-0.25,8.04058,2.39714,The lack of available courses is making it hard for me to fulfill all of my degree requirements. I'm worried I won't be able to graduate on time.,the lack of available courses is making it hard for me to fulfill all of my degree requirements im worried i wont be able to graduate on time
10,💻 Online Learning & Platform Issues,0.3353,Positive,0.128,14.317251,1.063658,"I'm having trouble with a particular software program for one of my classes, but there's no one available to help me troubleshoot. It's frustrating to feel like I'm on my own.",im having trouble with a particular software program for one of my classes but theres no one available to help me troubleshoot its frustrating to feel like im on my own
3,🔬 Research & Technology Resources,0.98,Negative,-0.0754,10.316739,-0.573175,Limited access to research databases and materials is especially frustrating when I'm trying to write a thesis or do original research. It feels like I'm hitting a wall.,limited access to research databases and materials is especially frustrating when im trying to write a thesis or do original research it feels like im hitting a wall
5,🌍 Diversity & Inclusion Support,0.98,Negative,-0.6486,10.94583,11.878061,I'm an international student and I'm having trouble accessing some of the online resources because of regional restrictions. It's frustrating to feel like I'm missing out because of where I'm from.,im an international student and im having trouble accessing some of the online resources because of regional restrictions its frustrating to feel like im missing out because of where im from
3,🔬 Research & Technology Resources,0.98,Negative,-0.0772,10.345327,-0.126236,I'm a transfer student and I feel like I'm at a disadvantage because I don't have access to all of the same resources and databases as students who started at this university.,im a transfer student and i feel like im at a disadvantage because i dont have access to all of the same resources and databases as students who started at this university
10,💻 Online Learning & Platform Issues,0.3321,Negative,-0.4767,14.197091,0.959186,I'm a student with a disability and I'm having trouble accessing the technology and software I need to do my coursework. It's frustrating to feel like my needs aren't being accommodated.,im a student with a disability and im having trouble accessing the technology and software i need to do my coursework its frustrating to feel like my needs arent being accommodated
-1,🌀 Unclassified Institutional Feedback,0.044,Positive,0.0516,12.282201,-5.320718,It's frustrating to have limited access to academic advisors because they're the ones who can help me plan my degree and make sure I'm on track to graduate.,its frustrating to have limited access to academic advisors because theyre the ones who can help me plan my degree and make sure im on track to graduate
9,🎓 Teaching Quality & Engagement,0.6453,Positive,0.4019,12.841744,0.353224,I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.,i wish there were more options for accessing course materials online so that i dont have to physically go to the library or bookstore every time i need something
10,💻 Online Learning & Platform Issues,0.3364,Negative,-0.6249,14.217758,1.342942,It's hard to do group projects when we have limited access to technology and software. It puts us at a disadvantage compared to other groups.,its hard to do group projects when we have limited access to technology and software it puts us at a disadvantage compared to other groups
3,🔬 Research & Technology Resources,0.98,Negative,-0.5574,10.427391,-0.664006,I'm having trouble accessing research databases and materials because the library hours are limited and they're often closed when I have time to study.,im having trouble accessing research databases and materials because the library hours are limited and theyre often closed when i have time to study
3,🔬 Research & Technology Resources,0.98,Negative,-0.1027,10.288535,-0.502134,Limited access to research databases and materials makes it hard to stay up-to-date with the latest developments in my field of study. It feels like I'm falling behind.,limited access to research databases and materials makes it hard to stay uptodate with the latest developments in my field of study it feels like im falling behind
10,💻 Online Learning & Platform Issues,0.3351,Positive,0.25,14.327796,1.069754,Limited access to technology and software is making it hard to keep up with the pace of coursework. It feels like I'm constantly playing catch-up.,limited access to technology and software is making it hard to keep up with the pace of coursework it feels like im constantly playing catchup
9,🎓 Teaching Quality & Engagement,0.3041,Positive,0.2263,7.980607,2.337924,The lack of available courses is making it hard to take electives that interest me. I feel like my academic options are too limited.,the lack of available courses is making it hard to take electives that interest me i feel like my academic options are too limited
-1,🌀 Unclassified Institutional Feedback,0.0438,Positive,0.34,12.228452,-5.245929,Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.,limited access to academic advisors is making me feel like im on my own when it comes to making important academic decisions
-1,🌀 Unclassified Institutional Feedback,0.0439,Negative,-0.743,12.270905,-5.305226,It's frustrating that we have such limited access to academic advisors. It makes it difficult to plan our academic careers and get the guidance we need.,its frustrating that we have such limited access to academic advisors it makes it difficult to plan our academic careers and get the guidance we need
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.5413,12.879802,-0.03628,I'm really struggling with finding and accessing course materials. It's making it hard to keep up with the coursework.,im really struggling with finding and accessing course materials its making it hard to keep up with the coursework
9,🎓 Teaching Quality & Engagement,0.3116,Negative,-0.2732,8.168938,2.185682,I wish there was more course availability. It's frustrating to have limited options for classes and not be able to take what we need.,i wish there was more course availability its frustrating to have limited options for classes and not be able to take what we need
10,💻 Online Learning & Platform Issues,0.3335,Positive,0.1027,14.402072,1.155816,Limited access to technology and software is a major issue. It's hindering our ability to complete assignments and keep up with the demands of our courses.,limited access to technology and software is a major issue its hindering our ability to complete assignments and keep up with the demands of our courses
3,🔬 Research & Technology Resources,0.98,Negative,-0.5859,10.332971,-0.651307,The limited access to research databases and materials is a huge problem. It makes it difficult to complete research assignments and write papers.,the limited access to research databases and materials is a huge problem it makes it difficult to complete research assignments and write papers
-1,🌀 Unclassified Institutional Feedback,0.0435,Negative,-0.8442,12.298034,-5.34625,It's really frustrating that we don't have better access to academic advisors. It's causing a lot of stress and anxiety.,its really frustrating that we dont have better access to academic advisors its causing a lot of stress and anxiety
9,🎓 Teaching Quality & Engagement,0.6453,Positive,0.1027,12.795451,0.038815,The difficulty in finding and accessing course materials is making it hard to succeed in our classes.,the difficulty in finding and accessing course materials is making it hard to succeed in our classes
9,🎓 Teaching Quality & Engagement,0.31,Negative,-0.3182,8.132714,2.205941,Limited course availability is a huge problem for students. We need more options for classes to be able to meet our academic goals.,limited course availability is a huge problem for students we need more options for classes to be able to meet our academic goals
10,💻 Online Learning & Platform Issues,0.3323,Positive,0.6705,14.358812,1.092549,Limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability.,limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability
3,🔬 Research & Technology Resources,0.98,Negative,-0.6697,10.37142,-0.658472,It's really frustrating to have limited access to research databases and materials. It's making it hard to complete research assignments and write papers.,its really frustrating to have limited access to research databases and materials its making it hard to complete research assignments and write papers
-1,🌀 Unclassified Institutional Feedback,0.0435,Negative,-0.4867,12.192586,-5.25524,I feel like I'm not getting the support I need from academic advisors. Limited access to them is making it difficult to plan my academic career.,i feel like im not getting the support i need from academic advisors limited access to them is making it difficult to plan my academic career
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.1189,12.760749,0.165411,The difficulty in finding and accessing course materials is a major source of stress for students. It's important that we have access to what we need to succeed.,the difficulty in finding and accessing course materials is a major source of stress for students its important that we have access to what we need to succeed
9,🎓 Teaching Quality & Engagement,0.31,Negative,-0.2263,8.096566,2.229558,Limited course availability is a major issue for students. We need more options to be able to take the classes we need.,limited course availability is a major issue for students we need more options to be able to take the classes we need
10,💻 Online Learning & Platform Issues,0.3353,Positive,0.1548,14.382653,1.18377,Limited access to technology and software is a major problem. It's impacting our ability to succeed in our courses and prepare for the workforce.,limited access to technology and software is a major problem its impacting our ability to succeed in our courses and prepare for the workforce
3,🔬 Research & Technology Resources,0.98,Positive,0.2732,10.323148,-0.530975,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,the limited access to research databases and materials is causing a lot of frustration among students we need better access to be able to succeed academically
-1,🌀 Unclassified Institutional Feedback,0.0437,Positive,0.5945,12.295264,-5.338659,It's really hard to succeed academically when we have limited access to academic advisors. We need more support.,its really hard to succeed academically when we have limited access to academic advisors we need more support
9,🎓 Teaching Quality & Engagement,0.6453,Positive,0.7003,12.765678,0.129361,The difficulty in finding and accessing course materials is a barrier to success for many students. It's important that we have access to what we need to succeed.,the difficulty in finding and accessing course materials is a barrier to success for many students its important that we have access to what we need to succeed
9,🎓 Teaching Quality & Engagement,0.3102,Negative,-0.5719,8.061782,2.266308,Limited course availability is causing a lot of stress for students. We need more options to be able to take the classes we need.,limited course availability is causing a lot of stress for students we need more options to be able to take the classes we need
10,💻 Online Learning & Platform Issues,0.3366,Negative,-0.5267,14.353858,1.094565,Limited access to technology and software is making it difficult to complete assignments and prepare for the workforce. It's a major issue for students.,limited access to technology and software is making it difficult to complete assignments and prepare for the workforce its a major issue for students
3,🔬 Research & Technology Resources,0.98,Positive,0.1531,10.337889,-0.624468,The limited access to research databases and materials is making it hard to complete assignments and write papers. We need better access.,the limited access to research databases and materials is making it hard to complete assignments and write papers we need better access
-1,🌀 Unclassified Institutional Feedback,0.0438,Positive,0.079,12.255008,-5.29642,It's really frustrating to not have more access to academic advisors. It's important that we have support to be able to plan our academic careers.,its really frustrating to not have more access to academic advisors its important that we have support to be able to plan our academic careers
9,🎓 Teaching Quality & Engagement,0.6453,Positive,0.4336,12.772106,0.097829,The difficulty in finding and accessing course materials is a major issue. It's important that we have access to what we need to succeed academically.,the difficulty in finding and accessing course materials is a major issue its important that we have access to what we need to succeed academically
9,🎓 Teaching Quality & Engagement,0.3086,Positive,0.1027,8.076238,2.241685,Limited course availability is impacting our ability to graduate on time and meet our academic goals. We need more options.,limited course availability is impacting our ability to graduate on time and meet our academic goals we need more options
10,💻 Online Learning & Platform Issues,0.3297,Positive,0.4767,14.328778,1.051763,Limited access to technology and software is a major issue for students. It's important that we have access to the tools we need to succeed academically and in the workforce.,limited access to technology and software is a major issue for students its important that we have access to the tools we need to succeed academically and in the workforce
3,🔬 Research & Technology Resources,0.98,Negative,-0.0772,10.40465,-0.581532,The limited access to research databases and materials is causing a lot of frustration for students. It's important that we have better access to complete our coursework.,the limited access to research databases and materials is causing a lot of frustration for students its important that we have better access to complete our coursework
-1,🌀 Unclassified Institutional Feedback,0.0431,Positive,0.0984,12.309066,-5.348085,"Academic advisors are so important, but the limited access to them is making it difficult to plan our academic careers and succeed.",academic advisors are so important but the limited access to them is making it difficult to plan our academic careers and succeed
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.6369,12.731527,0.140419,The difficulty in finding and accessing course materials is causing a lot of stress for students.,the difficulty in finding and accessing course materials is causing a lot of stress for students
3,🔬 Research & Technology Resources,0.98,Negative,-0.5859,10.356831,-0.709264,It's frustrating not being able to find the resources I need for my research projects due to the limited access to research databases and materials.,its frustrating not being able to find the resources i need for my research projects due to the limited access to research databases and materials
9,🎓 Teaching Quality & Engagement,0.3055,Negative,-0.5267,7.992997,2.316234,Limited course availability is making it difficult to schedule my classes for next semester.,limited course availability is making it difficult to schedule my classes for next semester
9,🎓 Teaching Quality & Engagement,0.6453,Positive,0.4703,12.815792,0.082778,The difficulty in finding and accessing course materials is really hindering my ability to study effectively.,the difficulty in finding and accessing course materials is really hindering my ability to study effectively
-1,🌀 Unclassified Institutional Feedback,0.0437,Negative,-0.3182,12.220992,-5.255174,"The lack of access to academic advisors is really concerning, especially when I have questions about course selection and career planning.",the lack of access to academic advisors is really concerning especially when i have questions about course selection and career planning
10,💻 Online Learning & Platform Issues,0.3317,Negative,-0.5267,14.304821,1.039085,Limited access to technology and software is making it difficult to complete assignments and stay up to date with my coursework.,limited access to technology and software is making it difficult to complete assignments and stay up to date with my coursework
3,🔬 Research & Technology Resources,0.98,Negative,-0.4767,10.347568,-0.736818,I'm worried that my research projects won't be up to standard due to the limited access to research databases and materials.,im worried that my research projects wont be up to standard due to the limited access to research databases and materials
9,🎓 Teaching Quality & Engagement,0.3056,Negative,-0.2263,8.023124,2.289102,Limited course availability is making it impossible to complete my degree requirements on time.,limited course availability is making it impossible to complete my degree requirements on time
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.128,12.792917,-0.00175,I feel like I'm falling behind in my courses due to the difficulty in finding and accessing course materials.,i feel like im falling behind in my courses due to the difficulty in finding and accessing course materials
-1,🌀 Unclassified Institutional Feedback,0.0439,Neutral,-0.0498,12.232351,-5.273869,"The lack of access to academic advisors is really frustrating, especially when I need help with scheduling or resolving academic issues.",the lack of access to academic advisors is really frustrating especially when i need help with scheduling or resolving academic issues
10,💻 Online Learning & Platform Issues,0.3315,Positive,0.1027,14.454286,1.170188,Limited access to technology and software is impacting my ability to compete with my peers and prepare for my future career.,limited access to technology and software is impacting my ability to compete with my peers and prepare for my future career
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.5719,12.885389,0.1533,I'm struggling to find the necessary course materials for my courses due to the limited access available.,im struggling to find the necessary course materials for my courses due to the limited access available
-1,🌀 Unclassified Institutional Feedback,0.0441,Negative,-0.1779,12.245949,-5.28505,The limited access to academic advisors is making it difficult for me to plan my academic career and get the support I need.,the limited access to academic advisors is making it difficult for me to plan my academic career and get the support i need
9,🎓 Teaching Quality & Engagement,0.3065,Negative,-0.2263,8.04293,2.264939,Limited course availability is causing me to have to adjust my academic plans and career aspirations.,limited course availability is causing me to have to adjust my academic plans and career aspirations
10,💻 Online Learning & Platform Issues,0.3342,Negative,-0.4939,14.427884,0.995854,Limited access to technology and software is causing me to fall behind in my coursework and struggle with assignments.,limited access to technology and software is causing me to fall behind in my coursework and struggle with assignments
3,🔬 Research & Technology Resources,0.98,Negative,-0.4767,10.271986,-0.707428,I'm worried about the quality of my research projects due to the limited access to research databases and materials.,im worried about the quality of my research projects due to the limited access to research databases and materials
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.34,12.841076,0.167165,The difficulty in finding and accessing course materials is causing me to spend unnecessary time and resources trying to complete assignments.,the difficulty in finding and accessing course materials is causing me to spend unnecessary time and resources trying to complete assignments
-1,🌀 Unclassified Institutional Feedback,0.0437,Negative,-0.5574,12.181077,-5.20976,Limited access to academic advisors is causing me to feel unsupported and disconnected from my academic goals.,limited access to academic advisors is causing me to feel unsupported and disconnected from my academic goals
9,🎓 Teaching Quality & Engagement,0.3069,Positive,0.4939,8.032646,2.276752,Limited course availability is causing me to miss out on valuable academic opportunities and experiences.,limited course availability is causing me to miss out on valuable academic opportunities and experiences
10,💻 Online Learning & Platform Issues,0.3342,Negative,-0.2263,14.288981,1.028092,The limited access to technology and software is causing me to have to use outdated tools and resources for my coursework.,the limited access to technology and software is causing me to have to use outdated tools and resources for my coursework
3,🔬 Research & Technology Resources,0.98,Positive,0.1346,10.289353,-0.391605,I feel like I'm not able to reach my full academic potential due to the limited access to research databases and materials.,i feel like im not able to reach my full academic potential due to the limited access to research databases and materials
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.5574,12.822266,0.012989,The difficulty in finding and accessing course materials is causing me to feel stressed and overwhelmed with my coursework.,the difficulty in finding and accessing course materials is causing me to feel stressed and overwhelmed with my coursework
-1,🌀 Unclassified Institutional Feedback,0.0439,Negative,-0.7096,12.192778,-5.222718,Limited access to academic advisors is causing me to feel lost and unsupported in my academic journey.,limited access to academic advisors is causing me to feel lost and unsupported in my academic journey
9,🎓 Teaching Quality & Engagement,0.3064,Positive,0.0772,8.040334,2.264012,I'm concerned that my academic achievements and career prospects will be impacted by the limited course availability.,im concerned that my academic achievements and career prospects will be impacted by the limited course availability
10,💻 Online Learning & Platform Issues,0.3341,Negative,-0.2263,14.483982,1.198575,The limited access to technology and software is causing me to feel unprepared for the demands of the modern workforce.,the limited access to technology and software is causing me to feel unprepared for the demands of the modern workforce
3,🔬 Research & Technology Resources,0.98,Negative,-0.5267,10.308263,-0.680728,The limited access to research databases and materials is making it difficult to produce high-quality research projects and assignments.,the limited access to research databases and materials is making it difficult to produce highquality research projects and assignments
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.6369,12.856997,-0.009994,I'm struggling to keep up with my coursework due to the difficulty in finding and accessing course materials.,im struggling to keep up with my coursework due to the difficulty in finding and accessing course materials
-1,🌀 Unclassified Institutional Feedback,0.0438,Positive,0.5859,12.14265,-5.175662,Limited access to academic advisors is causing me to feel like I'm not receiving the guidance I need to succeed academically.,limited access to academic advisors is causing me to feel like im not receiving the guidance i need to succeed academically
9,🎓 Teaching Quality & Engagement,0.305,Negative,-0.2263,8.07589,2.231596,Limited course availability is causing me to have to change my academic plans and goals.,limited course availability is causing me to have to change my academic plans and goals
10,💻 Online Learning & Platform Issues,0.3324,Positive,0.5859,14.468486,1.17218,The limited access to technology and software is causing me to feel like I'm not developing the skills I need to succeed in my future career.,the limited access to technology and software is causing me to feel like im not developing the skills i need to succeed in my future career
3,🔬 Research & Technology Resources,0.98,Positive,0.3818,10.299778,-0.356409,The limited access to research databases and materials is causing me to feel like I'm not able to fully explore my academic interests.,the limited access to research databases and materials is causing me to feel like im not able to fully explore my academic interests
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.6369,12.885721,0.026085,The difficulty in finding and accessing course materials is causing me to waste time and money trying to complete assignments.,the difficulty in finding and accessing course materials is causing me to waste time and money trying to complete assignments
-1,🌀 Unclassified Institutional Feedback,0.0438,Positive,0.5106,12.194565,-5.232952,Limited access to academic advisors is causing me to feel like I'm not receiving the academic support I need.,limited access to academic advisors is causing me to feel like im not receiving the academic support i need
9,🎓 Teaching Quality & Engagement,0.3054,Positive,0.5095,8.0734,2.238931,Limited course availability is causing me to feel like I'm not able to fully engage with my academic studies.,limited course availability is causing me to feel like im not able to fully engage with my academic studies
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.5719,12.851948,0.343761,"As a student in a remote area, I'm struggling to access the required course materials due to limited availability online.",as a student in a remote area im struggling to access the required course materials due to limited availability online
3,🔬 Research & Technology Resources,0.98,Negative,-0.4404,10.398026,-0.680921,It's frustrating when you can't access research databases and materials you need for your assignments because they're only available in the library and you can't visit it.,its frustrating when you cant access research databases and materials you need for your assignments because theyre only available in the library and you cant visit it
10,💻 Online Learning & Platform Issues,0.336,Positive,0.7845,14.346838,1.077143,The limited access to technology and software is hindering my ability to complete my coursework to the best of my ability.,the limited access to technology and software is hindering my ability to complete my coursework to the best of my ability
3,🔬 Research & Technology Resources,0.8728,Negative,-0.34,10.315363,0.11888,I am paying a significant amount for tuition and it's disappointing that I can't access all the resources I need for my studies.,i am paying a significant amount for tuition and its disappointing that i cant access all the resources i need for my studies
9,🎓 Teaching Quality & Engagement,0.3032,Negative,-0.5267,7.990814,2.321658,The limited course availability makes it difficult for me to plan my academic schedule and complete my degree in a timely manner.,the limited course availability makes it difficult for me to plan my academic schedule and complete my degree in a timely manner
-1,🌀 Unclassified Institutional Feedback,0.0441,Positive,0.4019,12.359163,-5.40803,I wish there were more academic advisors available to guide me through my degree program and answer my questions.,i wish there were more academic advisors available to guide me through my degree program and answer my questions
3,🔬 Research & Technology Resources,0.98,Negative,-0.2023,10.30451,0.022932,Limited access to academic resources has made it difficult for me to achieve the grades I am capable of.,limited access to academic resources has made it difficult for me to achieve the grades i am capable of
9,🎓 Teaching Quality & Engagement,0.6453,Negative,-0.5719,12.93749,0.309026,I am struggling to find and access course materials needed for my classes due to limited availability in the library and online.,i am struggling to find and access course materials needed for my classes due to limited availability in the library and online
3,🔬 Research & Technology Resources,0.98,Neutral,0.0,10.294985,-0.691801,The lack of access to research databases and materials is hindering my ability to conduct thorough research for my papers.,the lack of access to research databases and materials is hindering my ability to conduct thorough research for my papers
10,💻 Online Learning & Platform Issues,0.3365,Negative,-0.2023,14.197629,1.127527,"It's frustrating to not have access to the latest technology and software, especially when it's required for certain classes.",its frustrating to not have access to the latest technology and software especially when its required for certain classes
3,🔬 Research & Technology Resources,0.98,Positive,0.3597,10.293351,0.033692,The limited access to academic resources is preventing me from fully engaging in my studies and reaching my full potential.,the limited access to academic resources is preventing me from fully engaging in my studies and reaching my full potential
