text,genre,source,processed_text,token_count,cluster
I am disappointed with the quality of education I am receiving in this course. I expected more from a university.,academic support and resources,student_feedback,disappointed quality education receiving expected,5,1
The professor for this course is disorganized and doesn't seem to have a plan. I am not learning anything and it's frustrating.,academic support and resources,student_feedback,professor disorganized seem plan learning anything frustrating,7,1
The cost of attending this university is outrageous. I don't know how I'm going to afford it.,academic support and resources,student_feedback,cost attending outrageous know going afford,6,1
The textbook for this course is not helpful at all. It's poorly written and doesn't explain anything clearly.,academic support and resources,student_feedback,textbook helpful poorly written explain anything clearly,7,1
I am very concerned about the lack of diversity in this course. We are not getting a well-rounded education.,academic support and resources,student_feedback,concerned lack diversity well rounded education,6,1
The professor for this course is biased and it's affecting my grade. They seem to have favorites and it's not fair.,academic support and resources,student_feedback,professor biased affecting grade seem favorite fair,7,1
The workload for this course is overwhelming. I don't have enough time to complete everything and it's affecting my other classes.,academic support and resources,student_feedback,workload overwhelming enough complete everything affecting,6,4
I wish there were more opportunities for extra credit in this course. It would help my grade and encourage me to learn more.,academic support and resources,student_feedback,wish opportunity extra credit help grade encourage learn,8,1
The professor for this course is not approachable. I am scared to ask them for help and it's hindering my success.,academic support and resources,student_feedback,professor approachable scared ask help hindering success,7,1
The course fees are too high for what we're getting. We're not getting our money's worth.,academic support and resources,student_feedback,fee high money worth,4,1
The grading system for this course is too subjective. It's hard to know what the professor wants and it's affecting my grade.,academic support and resources,student_feedback,grading system subjective know professor want affecting grade,8,1
The professor for this course is disinterested and it shows in their lectures. I am not learning anything and it's frustrating.,academic support and resources,student_feedback,professor disinterested show lecture learning anything frustrating,7,1
The textbook for this course is full of errors and mistakes. It's hard to learn from something that's not accurate.,academic support and resources,student_feedback,textbook full error mistake learn something accurate,7,1
I am concerned about the lack of academic rigor in this course. We,academic support and resources,student_feedback,concerned lack academic rigor,4,1
Limited access to technology and software is hindering my ability to do my coursework. I can't afford to buy expensive programs on my own.,academic support and resources,student_feedback,technology software hindering coursework afford buy expensive program,8,2
I'm trying to graduate early but there are only a few courses available that I need to take. It's frustrating that my options are so limited.,academic support and resources,student_feedback,trying graduate early frustrating option,5,1
The online system for accessing course materials is always down or glitchy. It's hard to get work done when I can't even access my assignments.,academic support and resources,student_feedback,online system accessing material always glitchy work done even assignment,10,4
I wish there were more opportunities to access research databases and materials outside of the library. It would be nice to have more options and flexibility.,academic support and resources,student_feedback,wish opportunity research database material outside library nice option flexibility,10,2
It's really difficult to find the course materials I need for my classes because they're spread out across so many different resources. I wish there was a more streamlined system.,academic support and resources,student_feedback,find material spread across different resource wish streamlined system,9,4
The lack of available courses is making it hard for me to fulfill all of my degree requirements. I'm worried I won't be able to graduate on time.,academic support and resources,student_feedback,lack fulfill degree requirement worried graduate,6,1
"I'm having trouble with a particular software program for one of my classes, but there's no one available to help me troubleshoot. It's frustrating to feel like I'm on my own.",academic support and resources,student_feedback,trouble particular software program help troubleshoot frustrating,7,1
Limited access to research databases and materials is especially frustrating when I'm trying to write a thesis or do original research. It feels like I'm hitting a wall.,academic support and resources,student_feedback,research database material especially frustrating trying write thesis original research feel hitting wall,13,2
I'm an international student and I'm having trouble accessing some of the online resources because of regional restrictions. It's frustrating to feel like I'm missing out because of where I'm from.,academic support and resources,student_feedback,international trouble accessing online resource regional restriction frustrating missing,9,4
I'm a transfer student and I feel like I'm at a disadvantage because I don't have access to all of the same resources and databases as students who started at this university.,academic support and resources,student_feedback,transfer disadvantage resource database started,5,2
I'm a student with a disability and I'm having trouble accessing the technology and software I need to do my coursework. It's frustrating to feel like my needs aren't being accommodated.,academic support and resources,student_feedback,disability trouble accessing technology software coursework frustrating need accommodated,9,1
It's frustrating to have limited access to academic advisors because they're the ones who can help me plan my degree and make sure I'm on track to graduate.,academic support and resources,student_feedback,frustrating academic advisor one help plan degree sure track graduate,10,2
I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.,academic support and resources,student_feedback,wish option accessing material online physically library bookstore every something,10,4
It's hard to do group projects when we have limited access to technology and software. It puts us at a disadvantage compared to other groups.,academic support and resources,student_feedback,group project technology software put disadvantage compared group,8,2
I'm having trouble accessing research databases and materials because the library hours are limited and they're often closed when I have time to study.,academic support and resources,student_feedback,trouble accessing research database material library hour often closed study,10,2
Limited access to research databases and materials makes it hard to stay up-to-date with the latest developments in my field of study. It feels like I'm falling behind.,academic support and resources,student_feedback,research database material make stay date latest development field study feel falling behind,13,2
Limited access to technology and software is making it hard to keep up with the pace of coursework. It feels like I'm constantly playing catch-up.,academic support and resources,student_feedback,technology software keep pace coursework feel constantly playing catch,9,2
The lack of available courses is making it hard to take electives that interest me. I feel like my academic options are too limited.,academic support and resources,student_feedback,lack elective interest academic option,5,1
Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.,academic support and resources,student_feedback,academic advisor come important academic decision,6,2
It's frustrating that we have such limited access to academic advisors. It makes it difficult to plan our academic careers and get the guidance we need.,academic support and resources,student_feedback,frustrating academic advisor make plan academic career guidance,8,2
I'm really struggling with finding and accessing course materials. It's making it hard to keep up with the coursework.,academic support and resources,student_feedback,struggling finding accessing material keep coursework,6,4
I wish there was more course availability. It's frustrating to have limited options for classes and not be able to take what we need.,academic support and resources,student_feedback,wish availability frustrating option,4,4
Limited access to technology and software is a major issue. It's hindering our ability to complete assignments and keep up with the demands of our courses.,academic support and resources,student_feedback,technology software major hindering complete assignment keep demand,8,2
The limited access to research databases and materials is a huge problem. It makes it difficult to complete research assignments and write papers.,academic support and resources,student_feedback,research database material huge make complete research assignment write paper,10,2
It's really frustrating that we don't have better access to academic advisors. It's causing a lot of stress and anxiety.,academic support and resources,student_feedback,frustrating better academic advisor causing stress anxiety,7,2
The difficulty in finding and accessing course materials is making it hard to succeed in our classes.,academic support and resources,student_feedback,finding accessing material succeed,4,4
Limited course availability is a huge problem for students. We need more options for classes to be able to meet our academic goals.,academic support and resources,student_feedback,availability huge option meet academic goal,6,4
Limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability.,academic support and resources,student_feedback,technology software preventing complete assignment best,6,2
It's really frustrating to have limited access to research databases and materials. It's making it hard to complete research assignments and write papers.,academic support and resources,student_feedback,frustrating research database material complete research assignment write paper,9,2
I feel like I'm not getting the support I need from academic advisors. Limited access to them is making it difficult to plan my academic career.,academic support and resources,student_feedback,academic advisor plan academic career,5,2
The difficulty in finding and accessing course materials is a major source of stress for students. It's important that we have access to what we need to succeed.,academic support and resources,student_feedback,finding accessing material major source stress important succeed,8,4
Limited course availability is a major issue for students. We need more options to be able to take the classes we need.,academic support and resources,student_feedback,availability major option,3,4
Limited access to technology and software is a major problem. It's impacting our ability to succeed in our courses and prepare for the workforce.,academic support and resources,student_feedback,technology software major impacting succeed prepare workforce,7,2
It's really hard to succeed academically when we have limited access to academic advisors. We need more support.,academic support and resources,student_feedback,succeed academically academic advisor,4,2
The difficulty in finding and accessing course materials is a barrier to success for many students. It's important that we have access to what we need to succeed.,academic support and resources,student_feedback,finding accessing material barrier success important succeed,7,4
Limited course availability is causing a lot of stress for students. We need more options to be able to take the classes we need.,academic support and resources,student_feedback,availability causing stress option,4,4
Limited access to technology and software is making it difficult to complete assignments and prepare for the workforce. It's a major issue for students.,academic support and resources,student_feedback,technology software complete assignment prepare workforce major,7,2
The limited access to research databases and materials is making it hard to complete assignments and write papers. We need better access.,academic support and resources,student_feedback,research database material complete assignment write paper better,8,2
It's really frustrating to not have more access to academic advisors. It's important that we have support to be able to plan our academic careers.,academic support and resources,student_feedback,frustrating academic advisor important plan academic career,7,2
The difficulty in finding and accessing course materials is a major issue. It's important that we have access to what we need to succeed academically.,academic support and resources,student_feedback,finding accessing material major important succeed academically,7,4
Limited course availability is impacting our ability to graduate on time and meet our academic goals. We need more options.,academic support and resources,student_feedback,availability impacting graduate meet academic goal option,7,1
Limited access to technology and software is a major issue for students. It's important that we have access to the tools we need to succeed academically and in the workforce.,academic support and resources,student_feedback,technology software major important tool succeed academically workforce,8,2
The limited access to research databases and materials is causing a lot of frustration for students. It's important that we have better access to complete our coursework.,academic support and resources,student_feedback,research database material causing frustration important better complete coursework,9,2
"Academic advisors are so important, but the limited access to them is making it difficult to plan our academic careers and succeed.",academic support and resources,student_feedback,academic advisor important plan academic career succeed,7,2
The difficulty in finding and accessing course materials is causing a lot of stress for students.,academic support and resources,student_feedback,finding accessing material causing stress,5,4
It's frustrating not being able to find the resources I need for my research projects due to the limited access to research databases and materials.,academic support and resources,student_feedback,frustrating find resource research project due research database material,9,2
Limited course availability is making it difficult to schedule my classes for next semester.,academic support and resources,student_feedback,availability schedule next semester,4,4
The difficulty in finding and accessing course materials is really hindering my ability to study effectively.,academic support and resources,student_feedback,finding accessing material hindering study effectively,6,4
"The lack of access to academic advisors is really concerning, especially when I have questions about course selection and career planning.",academic support and resources,student_feedback,lack academic advisor concerning especially question selection career planning,9,2
Limited access to technology and software is making it difficult to complete assignments and stay up to date with my coursework.,academic support and resources,student_feedback,technology software complete assignment stay date coursework,7,2
I'm worried that my research projects won't be up to standard due to the limited access to research databases and materials.,academic support and resources,student_feedback,worried research project standard due research database material,8,2
Limited course availability is making it impossible to complete my degree requirements on time.,academic support and resources,student_feedback,availability impossible complete degree requirement,5,1
I feel like I'm falling behind in my courses due to the difficulty in finding and accessing course materials.,academic support and resources,student_feedback,falling behind due finding accessing material,6,4
"The lack of access to academic advisors is really frustrating, especially when I need help with scheduling or resolving academic issues.",academic support and resources,student_feedback,lack academic advisor frustrating especially help scheduling resolving academic issue,10,2
Limited access to technology and software is impacting my ability to compete with my peers and prepare for my future career.,academic support and resources,student_feedback,technology software impacting compete peer prepare future career,8,2
I'm struggling to find the necessary course materials for my courses due to the limited access available.,academic support and resources,student_feedback,struggling find necessary material due,5,2
The limited access to academic advisors is making it difficult for me to plan my academic career and get the support I need.,academic support and resources,student_feedback,academic advisor plan academic career,5,2
Limited course availability is causing me to have to adjust my academic plans and career aspirations.,academic support and resources,student_feedback,availability causing adjust academic plan career aspiration,7,1
Limited access to technology and software is causing me to fall behind in my coursework and struggle with assignments.,academic support and resources,student_feedback,technology software causing fall behind coursework struggle assignment,8,2
I'm worried about the quality of my research projects due to the limited access to research databases and materials.,academic support and resources,student_feedback,worried quality research project due research database material,8,2
The difficulty in finding and accessing course materials is causing me to spend unnecessary time and resources trying to complete assignments.,academic support and resources,student_feedback,finding accessing material causing spend unnecessary resource trying complete assignment,10,4
Limited access to academic advisors is causing me to feel unsupported and disconnected from my academic goals.,academic support and resources,student_feedback,academic advisor causing unsupported disconnected academic goal,7,2
Limited course availability is causing me to miss out on valuable academic opportunities and experiences.,academic support and resources,student_feedback,availability causing miss valuable academic opportunity experience,7,1
The limited access to technology and software is causing me to have to use outdated tools and resources for my coursework.,academic support and resources,student_feedback,technology software causing outdated tool resource coursework,7,2
I feel like I'm not able to reach my full academic potential due to the limited access to research databases and materials.,academic support and resources,student_feedback,reach full academic potential due research database material,8,2
The difficulty in finding and accessing course materials is causing me to feel stressed and overwhelmed with my coursework.,academic support and resources,student_feedback,finding accessing material causing stressed overwhelmed coursework,7,4
Limited access to academic advisors is causing me to feel lost and unsupported in my academic journey.,academic support and resources,student_feedback,academic advisor causing lost unsupported academic journey,7,2
I'm concerned that my academic achievements and career prospects will be impacted by the limited course availability.,academic support and resources,student_feedback,concerned academic achievement career prospect impacted availability,7,1
The limited access to technology and software is causing me to feel unprepared for the demands of the modern workforce.,academic support and resources,student_feedback,technology software causing unprepared demand modern workforce,7,2
The limited access to research databases and materials is making it difficult to produce high-quality research projects and assignments.,academic support and resources,student_feedback,research database material produce high quality research project assignment,9,2
I'm struggling to keep up with my coursework due to the difficulty in finding and accessing course materials.,academic support and resources,student_feedback,struggling keep coursework due finding accessing material,7,4
Limited access to academic advisors is causing me to feel like I'm not receiving the guidance I need to succeed academically.,academic support and resources,student_feedback,academic advisor causing receiving guidance succeed academically,7,2
Limited course availability is causing me to have to change my academic plans and goals.,academic support and resources,student_feedback,availability causing change academic plan goal,6,1
The limited access to technology and software is causing me to feel like I'm not developing the skills I need to succeed in my future career.,academic support and resources,student_feedback,technology software causing developing skill succeed future career,8,2
The limited access to research databases and materials is causing me to feel like I'm not able to fully explore my academic interests.,academic support and resources,student_feedback,research database material causing fully explore academic interest,8,2
The difficulty in finding and accessing course materials is causing me to waste time and money trying to complete assignments.,academic support and resources,student_feedback,finding accessing material causing waste money trying complete assignment,9,4
Limited access to academic advisors is causing me to feel like I'm not receiving the academic support I need.,academic support and resources,student_feedback,academic advisor causing receiving academic,5,2
Limited course availability is causing me to feel like I'm not able to fully engage with my academic studies.,academic support and resources,student_feedback,availability causing fully engage academic study,6,1
"As a student in a remote area, I'm struggling to access the required course materials due to limited availability online.",academic support and resources,student_feedback,remote area struggling material due availability online,7,4
It's frustrating when you can't access research databases and materials you need for your assignments because they're only available in the library and you can't visit it.,academic support and resources,student_feedback,frustrating research database material assignment library visit,7,2
The limited access to technology and software is hindering my ability to complete my coursework to the best of my ability.,academic support and resources,student_feedback,technology software hindering complete coursework best,6,2
I am paying a significant amount for tuition and it's disappointing that I can't access all the resources I need for my studies.,academic support and resources,student_feedback,paying significant amount tuition disappointing resource study,7,1
The limited course availability makes it difficult for me to plan my academic schedule and complete my degree in a timely manner.,academic support and resources,student_feedback,availability make plan academic schedule complete degree timely manner,9,1
I wish there were more academic advisors available to guide me through my degree program and answer my questions.,academic support and resources,student_feedback,wish academic advisor guide degree program answer question,8,1
Limited access to academic resources has made it difficult for me to achieve the grades I am capable of.,academic support and resources,student_feedback,academic resource achieve grade capable,5,2
I am struggling to find and access course materials needed for my classes due to limited availability in the library and online.,academic support and resources,student_feedback,struggling find material needed due availability library online,8,4
The lack of access to research databases and materials is hindering my ability to conduct thorough research for my papers.,academic support and resources,student_feedback,lack research database material hindering conduct thorough research paper,9,2
"It's frustrating to not have access to the latest technology and software, especially when it's required for certain classes.",academic support and resources,student_feedback,frustrating latest technology software especially certain,6,2
The limited access to academic resources is preventing me from fully engaging in my studies and reaching my full potential.,academic support and resources,student_feedback,academic resource preventing fully engaging study reaching full potential,9,2
I am finding it difficult to complete my assignments due to the limited access to technology and software I need.,academic support and resources,student_feedback,finding complete assignment due technology software,6,2
"Limited access to academic resources is causing unnecessary stress and anxiety, which is negatively affecting my academic performance.",academic support and resources,student_feedback,academic resource causing unnecessary stress anxiety negatively affecting academic performance,10,2
"It's frustrating to know that there are research databases and materials that could benefit my studies, but I don't have access to them.",academic support and resources,student_feedback,frustrating know research database material benefit study,7,2
I wish there were more academic advisors available to guide me through my degree program and help me make the most of my university experience.,academic support and resources,student_feedback,wish academic advisor guide degree program help,7,1
The limited course availability is causing scheduling conflicts and making it difficult to plan out my academic path.,academic support and resources,student_feedback,availability causing scheduling conflict plan academic path,7,1
The limited access to technology and software is preventing me from exploring new fields and expanding my knowledge.,academic support and resources,student_feedback,technology software preventing exploring new field expanding knowledge,8,2
I am paying for access to academic resources and it's disappointing that they're not readily available to me.,academic support and resources,student_feedback,paying academic resource disappointing readily,5,2
The limited access to research databases and materials is making it difficult for me to complete my thesis.,academic support and resources,student_feedback,research database material complete thesis,5,2
"I wish there were more opportunities to access academic resources, such as extended library hours or online resources.",academic support and resources,student_feedback,wish opportunity academic resource extended library hour online resource,9,2
The limited access to academic resources is making it difficult to pursue my academic interests and passions.,academic support and resources,student_feedback,academic resource pursue academic interest passion,6,2
I am finding it difficult to complete my assignments on time due to the limited access to technology and software.,academic support and resources,student_feedback,finding complete assignment due technology software,6,2
Limited access to academic resources is preventing me from making the most of my university experience and achieving my academic goals.,academic support and resources,student_feedback,academic resource preventing achieving academic goal,6,2
The limited course availability is preventing me from taking the classes I need to complete my degree.,academic support and resources,student_feedback,availability preventing complete degree,4,4
I wish there were more academic advisors available to provide guidance and support throughout my university experience.,academic support and resources,student_feedback,wish academic advisor provide guidance throughout,6,1
The limited access to technology and software is hindering my ability to prepare for my future career.,academic support and resources,student_feedback,technology software hindering prepare future career,6,2
Limited access to academic resources is creating a disadvantage for me compared to other students who have greater access.,academic support and resources,student_feedback,academic resource creating disadvantage compared greater,6,2
The limited access to research databases and materials is making it difficult to conduct quality research for my papers.,academic support and resources,student_feedback,research database material conduct quality research paper,7,2
"I am struggling to find and access the course materials I need, which is negatively affecting my academic performance.",academic support and resources,student_feedback,struggling find material negatively affecting academic performance,7,1
Limited access to academic resources is making it difficult for me to fully engage in my studies and take advantage of all that my university has to offer.,academic support and resources,student_feedback,academic resource fully engage study advantage offer,7,2
"I'm finding the academic workload really overwhelming, and it's been a struggle to keep up with all the assignments.",academic support and resources,student_feedback,finding academic workload overwhelming struggle keep assignment,7,1
"The course material is extremely challenging, and I often feel like I don't fully understand it.",academic support and resources,student_feedback,material extremely challenging often fully understand,6,4
I've been struggling with my time management skills lately and it's been affecting my grades. I really need to get better at prioritizing my tasks.,academic support and resources,student_feedback,struggling management skill lately affecting grade better prioritizing task,9,1
"Balancing work and academic responsibilities has been a real challenge for me, and I often feel like I'm being pulled in two different directions.",academic support and resources,student_feedback,balancing work academic responsibility real challenge often pulled two different direction,11,1
"I'm finding it difficult to balance my extracurricular activities with my academic work, and I'm often left feeling stressed and overwhelmed.",academic support and resources,student_feedback,finding balance extracurricular activity academic work often left feeling stressed overwhelmed,11,1
"Lack of sleep and fatigue has been a real issue for me lately, and it's been affecting my ability to focus and stay motivated.",academic support and resources,student_feedback,lack sleep fatigue real lately affecting focus stay motivated,9,1
"I've been dealing with a lot of stress and anxiety lately, and it's been really tough to stay on top of my schoolwork.",academic support and resources,student_feedback,dealing stress anxiety lately tough stay top schoolwork,8,1
"Mental health concerns have been a major factor in my academic performance, and I really need to prioritize self-care in order to succeed.",academic support and resources,student_feedback,mental health concern major factor academic performance prioritize self care order succeed,12,1
"I'm struggling to keep up with the academic workload, and it's been causing me a lot of stress and anxiety.",academic support and resources,student_feedback,struggling keep academic workload causing stress anxiety,7,1
"The course material is really challenging, and I often feel like I'm in over my head.",academic support and resources,student_feedback,material challenging often head,4,4
"I'm not very good at managing my time, and I often find myself struggling to balance my academic work with my other commitments.",academic support and resources,student_feedback,good managing often find struggling balance academic work commitment,9,1
"Balancing work and academic responsibilities has been a real struggle for me, and it's been affecting my grades.",academic support and resources,student_feedback,balancing work academic responsibility real struggle affecting grade,8,1
"I often have conflicts with my other commitments, and it's been difficult to find time to focus on my schoolwork.",academic support and resources,student_feedback,often conflict commitment find focus schoolwork,6,1
"I've been feeling really tired and burnt out lately, and it's been hard to stay motivated to study.",academic support and resources,student_feedback,feeling tired burnt lately stay motivated study,7,1
"The stress and anxiety of college life has been getting to me, and I'm having trouble focusing on my coursework.",academic support and resources,student_feedback,stress anxiety college life trouble focusing coursework,7,1
"My mental health has been a major factor in my academic performance, and I need to prioritize self-care in order to succeed.",academic support and resources,student_feedback,mental health major factor academic performance prioritize self care order succeed,11,1
"I'm feeling really overwhelmed by the academic workload, and I'm struggling to keep up with everything.",academic support and resources,student_feedback,feeling overwhelmed academic workload struggling keep everything,7,1
"The course material is really difficult, and I often feel like I don't fully understand it.",academic support and resources,student_feedback,material often fully understand,4,4
"I'm not very good at managing my time, and it's been affecting my grades.",academic support and resources,student_feedback,good managing affecting grade,4,1
"Balancing work and academic responsibilities has been really challenging for me, and it's been causing me a lot of stress.",academic support and resources,student_feedback,balancing work academic responsibility challenging causing stress,7,1
"I often have conflicts with my other commitments, and it's been tough to find time to focus on my schoolwork.",academic support and resources,student_feedback,often conflict commitment tough find focus schoolwork,7,1
"I've been feeling really exhausted lately, and it's been hard to stay motivated to study.",academic support and resources,student_feedback,feeling exhausted lately stay motivated study,6,1
"The stress and anxiety of college life has been really overwhelming, and it's been affecting my mental health.",academic support and resources,student_feedback,stress anxiety college life overwhelming affecting mental health,8,1
"I'm dealing with some mental health issues that have been affecting my academic performance, and I need to seek help.",academic support and resources,student_feedback,dealing mental health issue affecting academic performance seek help,9,1
"The academic workload has been really intense lately, and it's been a struggle to keep up with everything.",academic support and resources,student_feedback,academic workload intense lately struggle keep everything,7,1
"The course material is really challenging, and I often feel like I'm not smart enough to understand it.",academic support and resources,student_feedback,material challenging often smart enough understand,6,4
I need to work on my time management skills because I'm constantly feeling behind in my coursework.,academic support and resources,student_feedback,work management skill constantly feeling behind coursework,7,1
"Balancing work and academic responsibilities has been a real struggle, and I'm not sure how to make it work.",academic support and resources,student_feedback,balancing work academic responsibility real struggle sure work,8,1
"I have a lot of other commitments that often conflict with my schoolwork, and it's been really hard to juggle everything.",academic support and resources,student_feedback,commitment often conflict schoolwork juggle everything,6,1
"I've been feeling really run down lately, and it's been tough to stay focused on my studies.",academic support and resources,student_feedback,feeling run lately tough stay focused study,7,1
The stress and anxiety of college life has been really overwhelming,academic support and resources,student_feedback,stress anxiety college life overwhelming,5,1
"The academic workload is becoming overwhelming, especially with the difficulty of course material. It's difficult to manage my time well and balance my work responsibilities with my academic ones. I have a hard time sleeping due to the stress and anxiety this is causing me, and it's starting to affect my mental health.",academic support and resources,student_feedback,academic workload becoming overwhelming especially material manage well balance work responsibility academic one sleeping due stress anxiety causing starting affect mental health,22,1
"I find myself struggling with the difficulty of course material and trying to manage my time effectively. Balancing work and academic responsibilities is a challenge, and I'm not getting enough sleep. This is causing me stress and anxiety, which is taking a toll on my mental health.",academic support and resources,student_feedback,find struggling material trying manage effectively balancing work academic responsibility challenge enough sleep causing stress anxiety toll mental health,19,1
"Managing the academic workload and the difficulty of course material is a constant struggle. I need to improve my time management skills to balance work and academic responsibilities, but it's hard when I have time conflicts with other commitments. The lack of sleep is starting to affect my mental health, and I'm feeling stressed and anxious.",academic support and resources,student_feedback,managing academic workload material constant struggle improve management skill balance work academic responsibility conflict commitment lack sleep starting affect mental health feeling stressed anxious,24,1
"I'm finding it hard to keep up with the academic workload, especially since the course material is challenging. Balancing work and academic responsibilities is tough, and there are often time conflicts with other commitments. I'm not getting enough sleep, and it's starting to affect my mental health. The stress and anxiety are overwhelming.",academic support and resources,student_feedback,finding keep academic workload especially since material challenging balancing work academic responsibility tough often conflict commitment enough sleep starting affect mental health stress anxiety overwhelming,25,1
"The academic workload is taking its toll on me, especially since the course material is so difficult. I'm trying to manage my time effectively, but it's challenging to balance work and academic responsibilities. There are always time conflicts with other commitments, and I'm not getting enough sleep. This is causing me stress and anxiety, and it's starting to impact my mental health.",academic support and resources,student_feedback,academic workload toll especially since material trying manage effectively challenging balance work academic responsibility always conflict commitment enough sleep causing stress anxiety starting impact mental health,26,1
"I'm struggling with the academic workload and the difficulty of the course material. I need to improve my time management skills to balance work and academic responsibilities, but there are always time conflicts with other commitments. I'm not sleeping well, and it's affecting my mental health. I'm feeling stressed and anxious all the time.",academic support and resources,student_feedback,struggling academic workload material improve management skill balance work academic responsibility always conflict commitment sleeping well affecting mental health feeling stressed anxious,22,1
"It's challenging to keep up with the academic workload, especially since the course material is so difficult. I need to work on my time management skills to balance work and academic responsibilities, but there are always time conflicts with other commitments. The lack of sleep is starting to take its toll on my mental health, and I'm feeling stressed and anxious.",academic support and resources,student_feedback,challenging keep academic workload especially since material work management skill balance work academic responsibility always conflict commitment lack sleep starting toll mental health feeling stressed anxious,26,1
