Genre,Reports,Age,Gpa,Year,Count,Gender,Nationality,processed_text,raw_feedback_text,umap_x,umap_y,sem_cluster,sem_confidence,sentiment,sentiment_score,cluster_label,sem_cluster_name
Academic Support and Resources, The textbook for this course is not helpful at all. It's poorly written and doesn't explain anything clearly.,25,1.15,2,1,M,Egypt, the textbook for this course is not helpful at all its poorly written and doesnt explain anything clearly, The textbook for this course is not helpful at all. It's poorly written and doesn't explain anything clearly.,12.728275,-1.107725,9,0.98,Negative,-0.5559,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, I am very concerned about the lack of diversity in this course. We are not getting a well-rounded education.,19,2.09,2,1,F,Egypt, i am very concerned about the lack of diversity in this course we are not getting a wellrounded education, I am very concerned about the lack of diversity in this course. We are not getting a well-rounded education.,9.997952,11.951363,5,0.98,Negative,-0.3182,Cluster 5,🌍 Diversity & Inclusion Support
Academic Support and Resources, The professor for this course is biased and it's affecting my grade. They seem to have favorites and it's not fair.,18,1.73,2,1,F,Egypt, the professor for this course is biased and its affecting my grade they seem to have favorites and its not fair, The professor for this course is biased and it's affecting my grade. They seem to have favorites and it's not fair.,12.399514,-1.1399654,9,0.98,Negative,-0.0675,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The workload for this course is overwhelming. I don't have enough time to complete everything and it's affecting my other classes.,27,0.81,2,1,F,Egypt, the workload for this course is overwhelming i dont have enough time to complete everything and its affecting my other classes, The workload for this course is overwhelming. I don't have enough time to complete everything and it's affecting my other classes.,13.812724,5.633397,2,0.98,Neutral,0.0,Cluster 2,📚 Academic Support & Wellbeing
Academic Support and Resources, I wish there were more opportunities for extra credit in this course. It would help my grade and encourage me to learn more.,26,2.68,2,1,F,Egypt, i wish there were more opportunities for extra credit in this course it would help my grade and encourage me to learn more, I wish there were more opportunities for extra credit in this course. It would help my grade and encourage me to learn more.,8.465326,2.095247,9,0.3207,Positive,0.9216,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The professor for this course is not approachable. I am scared to ask them for help and it's hindering my success.,27,3.12,2,1,F,Egypt, the professor for this course is not approachable i am scared to ask them for help and its hindering my success, The professor for this course is not approachable. I am scared to ask them for help and it's hindering my success.,12.4291525,-1.0810411,9,0.98,Positive,0.5423,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The course fees are too high for what we're getting. We're not getting our money's worth.,21,1.55,2,1,M,Egypt, the course fees are too high for what were getting were not getting our moneys worth, The course fees are too high for what we're getting. We're not getting our money's worth.,7.7670155,7.354974,4,0.6948,Positive,0.2263,Cluster 4,💰 Financial Aid & Administration
Academic Support and Resources, The grading system for this course is too subjective. It's hard to know what the professor wants and it's affecting my grade.,25,3.12,2,1,M,Egypt, the grading system for this course is too subjective its hard to know what the professor wants and its affecting my grade, The grading system for this course is too subjective. It's hard to know what the professor wants and it's affecting my grade.,12.384764,-1.0342749,9,0.98,Negative,-0.1027,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The professor for this course is disinterested and it shows in their lectures. I am not learning anything and it's frustrating.,18,3.14,2,1,F,Egypt, the professor for this course is disinterested and it shows in their lectures i am not learning anything and its frustrating, The professor for this course is disinterested and it shows in their lectures. I am not learning anything and it's frustrating.,12.44811,-1.0970093,9,0.98,Negative,-0.4404,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, The textbook for this course is full of errors and mistakes. It's hard to learn from something that's not accurate.,19,1.7,2,1,F,Egypt, the textbook for this course is full of errors and mistakes its hard to learn from something thats not accurate, The textbook for this course is full of errors and mistakes. It's hard to learn from something that's not accurate.,12.679427,-1.0713428,9,0.98,Negative,-0.6486,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources, I am concerned about the lack of academic rigor in this course. We,16,1.68,2,1,F,Egypt, i am concerned about the lack of academic rigor in this course we, I am concerned about the lack of academic rigor in this course. We,12.422591,-0.8071832,9,0.98,Negative,-0.3182,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,Limited access to technology and software is hindering my ability to do my coursework. I can't afford to buy expensive programs on my own.,24,1.77,2,1,F,Egypt,limited access to technology and software is hindering my ability to do my coursework i cant afford to buy expensive programs on my own,Limited access to technology and software is hindering my ability to do my coursework. I can't afford to buy expensive programs on my own.,14.369536,1.0819198,10,0.335,Positive,0.1027,Cluster 10,💻 Online Learning & Platform Issues
Academic Support and Resources,I'm trying to graduate early but there are only a few courses available that I need to take. It's frustrating that my options are so limited.,24,3.74,2,1,M,Egypt,im trying to graduate early but there are only a few courses available that i need to take its frustrating that my options are so limited,I'm trying to graduate early but there are only a few courses available that I need to take. It's frustrating that my options are so limited.,7.9920573,2.343399,9,0.303,Negative,-0.7956,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,The online system for accessing course materials is always down or glitchy. It's hard to get work done when I can't even access my assignments.,16,2.18,2,1,M,Egypt,the online system for accessing course materials is always down or glitchy its hard to get work done when i cant even access my assignments,The online system for accessing course materials is always down or glitchy. It's hard to get work done when I can't even access my assignments.,12.8296995,0.80776006,10,0.4141,Negative,-0.1027,Cluster 10,💻 Online Learning & Platform Issues
Academic Support and Resources,I wish there were more opportunities to access research databases and materials outside of the library. It would be nice to have more options and flexibility.,24,1.74,2,1,M,Egypt,i wish there were more opportunities to access research databases and materials outside of the library it would be nice to have more options and flexibility,I wish there were more opportunities to access research databases and materials outside of the library. It would be nice to have more options and flexibility.,10.280485,-0.44939876,3,0.98,Positive,0.8766,Cluster 3,🔬 Research & Technology Resources
Academic Support and Resources,It's really difficult to find the course materials I need for my classes because they're spread out across so many different resources. I wish there was a more streamlined system.,18,0.55,2,1,F,Egypt,its really difficult to find the course materials i need for my classes because theyre spread out across so many different resources i wish there was a more streamlined system,It's really difficult to find the course materials I need for my classes because they're spread out across so many different resources. I wish there was a more streamlined system.,12.933896,0.12612347,9,0.6453,Neutral,-0.024,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,The lack of available courses is making it hard for me to fulfill all of my degree requirements. I'm worried I won't be able to graduate on time.,22,1.76,2,1,M,Egypt,the lack of available courses is making it hard for me to fulfill all of my degree requirements im worried i wont be able to graduate on time,The lack of available courses is making it hard for me to fulfill all of my degree requirements. I'm worried I won't be able to graduate on time.,8.040581,2.39714,9,0.3036,Negative,-0.25,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,"I'm having trouble with a particular software program for one of my classes, but there's no one available to help me troubleshoot. It's frustrating to feel like I'm on my own.",21,1.4,2,1,M,Egypt,im having trouble with a particular software program for one of my classes but theres no one available to help me troubleshoot its frustrating to feel like im on my own,"I'm having trouble with a particular software program for one of my classes, but there's no one available to help me troubleshoot. It's frustrating to feel like I'm on my own.",14.317251,1.0636578,10,0.3353,Positive,0.128,Cluster 10,💻 Online Learning & Platform Issues
Academic Support and Resources,Limited access to research databases and materials is especially frustrating when I'm trying to write a thesis or do original research. It feels like I'm hitting a wall.,24,1.69,2,1,M,Egypt,limited access to research databases and materials is especially frustrating when im trying to write a thesis or do original research it feels like im hitting a wall,Limited access to research databases and materials is especially frustrating when I'm trying to write a thesis or do original research. It feels like I'm hitting a wall.,10.316739,-0.5731746,3,0.98,Negative,-0.0754,Cluster 3,🔬 Research & Technology Resources
Academic Support and Resources,I'm an international student and I'm having trouble accessing some of the online resources because of regional restrictions. It's frustrating to feel like I'm missing out because of where I'm from.,26,2.27,2,1,M,Egypt,im an international student and im having trouble accessing some of the online resources because of regional restrictions its frustrating to feel like im missing out because of where im from,I'm an international student and I'm having trouble accessing some of the online resources because of regional restrictions. It's frustrating to feel like I'm missing out because of where I'm from.,10.94583,11.878061,5,0.98,Negative,-0.6486,Cluster 5,🌍 Diversity & Inclusion Support
Academic Support and Resources,I'm a transfer student and I feel like I'm at a disadvantage because I don't have access to all of the same resources and databases as students who started at this university.,22,3.78,2,1,F,Egypt,im a transfer student and i feel like im at a disadvantage because i dont have access to all of the same resources and databases as students who started at this university,I'm a transfer student and I feel like I'm at a disadvantage because I don't have access to all of the same resources and databases as students who started at this university.,10.345327,-0.12623613,3,0.98,Negative,-0.0772,Cluster 3,🔬 Research & Technology Resources
Academic Support and Resources,I'm a student with a disability and I'm having trouble accessing the technology and software I need to do my coursework. It's frustrating to feel like my needs aren't being accommodated.,26,3.06,2,1,M,Egypt,im a student with a disability and im having trouble accessing the technology and software i need to do my coursework its frustrating to feel like my needs arent being accommodated,I'm a student with a disability and I'm having trouble accessing the technology and software I need to do my coursework. It's frustrating to feel like my needs aren't being accommodated.,14.197091,0.959186,10,0.3321,Negative,-0.4767,Cluster 10,💻 Online Learning & Platform Issues
Academic Support and Resources,It's frustrating to have limited access to academic advisors because they're the ones who can help me plan my degree and make sure I'm on track to graduate.,16,3.53,2,1,F,Egypt,its frustrating to have limited access to academic advisors because theyre the ones who can help me plan my degree and make sure im on track to graduate,It's frustrating to have limited access to academic advisors because they're the ones who can help me plan my degree and make sure I'm on track to graduate.,12.282201,-5.3207173,-1,0.044,Positive,0.0516,Unclassified Feedback,🌀 Unclassified Institutional Feedback
Academic Support and Resources,I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.,17,2.85,2,1,M,Egypt,i wish there were more options for accessing course materials online so that i dont have to physically go to the library or bookstore every time i need something,I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.,12.841744,0.3532244,9,0.6453,Positive,0.4019,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,It's hard to do group projects when we have limited access to technology and software. It puts us at a disadvantage compared to other groups.,27,1.16,2,1,F,Egypt,its hard to do group projects when we have limited access to technology and software it puts us at a disadvantage compared to other groups,It's hard to do group projects when we have limited access to technology and software. It puts us at a disadvantage compared to other groups.,14.217758,1.3429422,10,0.3364,Negative,-0.6249,Cluster 10,💻 Online Learning & Platform Issues
Academic Support and Resources,I'm having trouble accessing research databases and materials because the library hours are limited and they're often closed when I have time to study.,17,1.91,2,1,M,Egypt,im having trouble accessing research databases and materials because the library hours are limited and theyre often closed when i have time to study,I'm having trouble accessing research databases and materials because the library hours are limited and they're often closed when I have time to study.,10.427391,-0.66400653,3,0.98,Negative,-0.5574,Cluster 3,🔬 Research & Technology Resources
Academic Support and Resources,Limited access to research databases and materials makes it hard to stay up-to-date with the latest developments in my field of study. It feels like I'm falling behind.,16,1.08,2,1,M,Egypt,limited access to research databases and materials makes it hard to stay uptodate with the latest developments in my field of study it feels like im falling behind,Limited access to research databases and materials makes it hard to stay up-to-date with the latest developments in my field of study. It feels like I'm falling behind.,10.288535,-0.5021338,3,0.98,Negative,-0.1027,Cluster 3,🔬 Research & Technology Resources
Academic Support and Resources,Limited access to technology and software is making it hard to keep up with the pace of coursework. It feels like I'm constantly playing catch-up.,26,2.6,2,1,M,Egypt,limited access to technology and software is making it hard to keep up with the pace of coursework it feels like im constantly playing catchup,Limited access to technology and software is making it hard to keep up with the pace of coursework. It feels like I'm constantly playing catch-up.,14.327796,1.0697538,10,0.3351,Positive,0.25,Cluster 10,💻 Online Learning & Platform Issues
Academic Support and Resources,The lack of available courses is making it hard to take electives that interest me. I feel like my academic options are too limited.,18,3.75,2,1,F,Egypt,the lack of available courses is making it hard to take electives that interest me i feel like my academic options are too limited,The lack of available courses is making it hard to take electives that interest me. I feel like my academic options are too limited.,7.980607,2.3379242,9,0.3041,Positive,0.2263,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.,18,2.18,2,1,M,Egypt,limited access to academic advisors is making me feel like im on my own when it comes to making important academic decisions,Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.,12.228452,-5.245929,-1,0.0438,Positive,0.34,Unclassified Feedback,🌀 Unclassified Institutional Feedback
Academic Support and Resources,It's frustrating that we have such limited access to academic advisors. It makes it difficult to plan our academic careers and get the guidance we need.,21,0.29,2,1,M,Egypt,its frustrating that we have such limited access to academic advisors it makes it difficult to plan our academic careers and get the guidance we need,It's frustrating that we have such limited access to academic advisors. It makes it difficult to plan our academic careers and get the guidance we need.,12.2709055,-5.3052263,-1,0.0439,Negative,-0.743,Unclassified Feedback,🌀 Unclassified Institutional Feedback
Academic Support and Resources,I'm really struggling with finding and accessing course materials. It's making it hard to keep up with the coursework.,26,0.95,2,1,F,Egypt,im really struggling with finding and accessing course materials its making it hard to keep up with the coursework,I'm really struggling with finding and accessing course materials. It's making it hard to keep up with the coursework.,12.879802,-0.036280487,9,0.6453,Negative,-0.5413,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,I wish there was more course availability. It's frustrating to have limited options for classes and not be able to take what we need.,27,0.93,2,1,F,Egypt,i wish there was more course availability its frustrating to have limited options for classes and not be able to take what we need,I wish there was more course availability. It's frustrating to have limited options for classes and not be able to take what we need.,8.168938,2.1856816,9,0.3116,Negative,-0.2732,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,Limited access to technology and software is a major issue. It's hindering our ability to complete assignments and keep up with the demands of our courses.,27,0.52,2,1,M,Egypt,limited access to technology and software is a major issue its hindering our ability to complete assignments and keep up with the demands of our courses,Limited access to technology and software is a major issue. It's hindering our ability to complete assignments and keep up with the demands of our courses.,14.402072,1.1558164,10,0.3335,Positive,0.1027,Cluster 10,💻 Online Learning & Platform Issues
Academic Support and Resources,The limited access to research databases and materials is a huge problem. It makes it difficult to complete research assignments and write papers.,17,3.27,2,1,F,Egypt,the limited access to research databases and materials is a huge problem it makes it difficult to complete research assignments and write papers,The limited access to research databases and materials is a huge problem. It makes it difficult to complete research assignments and write papers.,10.332971,-0.65130705,3,0.98,Negative,-0.5859,Cluster 3,🔬 Research & Technology Resources
Academic Support and Resources,It's really frustrating that we don't have better access to academic advisors. It's causing a lot of stress and anxiety.,26,3.2,2,1,F,Egypt,its really frustrating that we dont have better access to academic advisors its causing a lot of stress and anxiety,It's really frustrating that we don't have better access to academic advisors. It's causing a lot of stress and anxiety.,12.298034,-5.34625,-1,0.0435,Negative,-0.8442,Unclassified Feedback,🌀 Unclassified Institutional Feedback
Academic Support and Resources,The difficulty in finding and accessing course materials is making it hard to succeed in our classes.,25,1.38,2,1,F,Egypt,the difficulty in finding and accessing course materials is making it hard to succeed in our classes,The difficulty in finding and accessing course materials is making it hard to succeed in our classes.,12.795451,0.038815398,9,0.6453,Positive,0.1027,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,Limited course availability is a huge problem for students. We need more options for classes to be able to meet our academic goals.,25,2.27,2,1,F,Egypt,limited course availability is a huge problem for students we need more options for classes to be able to meet our academic goals,Limited course availability is a huge problem for students. We need more options for classes to be able to meet our academic goals.,8.132714,2.205941,9,0.31,Negative,-0.3182,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,Limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability.,27,0.57,2,1,F,Egypt,limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability,Limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability.,14.358812,1.0925493,10,0.3323,Positive,0.6705,Cluster 10,💻 Online Learning & Platform Issues
Academic Support and Resources,It's really frustrating to have limited access to research databases and materials. It's making it hard to complete research assignments and write papers.,16,1.12,2,1,F,Egypt,its really frustrating to have limited access to research databases and materials its making it hard to complete research assignments and write papers,It's really frustrating to have limited access to research databases and materials. It's making it hard to complete research assignments and write papers.,10.37142,-0.658472,3,0.98,Negative,-0.6697,Cluster 3,🔬 Research & Technology Resources
Academic Support and Resources,I feel like I'm not getting the support I need from academic advisors. Limited access to them is making it difficult to plan my academic career.,17,1.67,2,1,M,Egypt,i feel like im not getting the support i need from academic advisors limited access to them is making it difficult to plan my academic career,I feel like I'm not getting the support I need from academic advisors. Limited access to them is making it difficult to plan my academic career.,12.192586,-5.2552395,-1,0.0435,Negative,-0.4867,Unclassified Feedback,🌀 Unclassified Institutional Feedback
Academic Support and Resources,The difficulty in finding and accessing course materials is a major source of stress for students. It's important that we have access to what we need to succeed.,18,1.35,2,1,M,Egypt,the difficulty in finding and accessing course materials is a major source of stress for students its important that we have access to what we need to succeed,The difficulty in finding and accessing course materials is a major source of stress for students. It's important that we have access to what we need to succeed.,12.760749,0.16541144,9,0.6453,Negative,-0.1189,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,Limited course availability is a major issue for students. We need more options to be able to take the classes we need.,21,0.36,2,1,M,Egypt,limited course availability is a major issue for students we need more options to be able to take the classes we need,Limited course availability is a major issue for students. We need more options to be able to take the classes we need.,8.096566,2.2295585,9,0.31,Negative,-0.2263,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,Limited access to technology and software is a major problem. It's impacting our ability to succeed in our courses and prepare for the workforce.,16,3.49,2,1,F,Egypt,limited access to technology and software is a major problem its impacting our ability to succeed in our courses and prepare for the workforce,Limited access to technology and software is a major problem. It's impacting our ability to succeed in our courses and prepare for the workforce.,14.382653,1.1837697,10,0.3353,Positive,0.1548,Cluster 10,💻 Online Learning & Platform Issues
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,19,0.3,2,1,M,Egypt,the limited access to research databases and materials is causing a lot of frustration among students we need better access to be able to succeed academically,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,10.323148,-0.530975,3,0.98,Positive,0.2732,Cluster 3,🔬 Research & Technology Resources
Academic Support and Resources,It's really hard to succeed academically when we have limited access to academic advisors. We need more support.,17,2.8,2,1,F,Egypt,its really hard to succeed academically when we have limited access to academic advisors we need more support,It's really hard to succeed academically when we have limited access to academic advisors. We need more support.,12.295264,-5.338659,-1,0.0437,Positive,0.5945,Unclassified Feedback,🌀 Unclassified Institutional Feedback
Academic Support and Resources,The difficulty in finding and accessing course materials is a barrier to success for many students. It's important that we have access to what we need to succeed.,18,3.49,2,1,F,Egypt,the difficulty in finding and accessing course materials is a barrier to success for many students its important that we have access to what we need to succeed,The difficulty in finding and accessing course materials is a barrier to success for many students. It's important that we have access to what we need to succeed.,12.765678,0.12936053,9,0.6453,Positive,0.7003,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,Limited course availability is causing a lot of stress for students. We need more options to be able to take the classes we need.,16,3.83,2,1,M,Egypt,limited course availability is causing a lot of stress for students we need more options to be able to take the classes we need,Limited course availability is causing a lot of stress for students. We need more options to be able to take the classes we need.,8.061782,2.2663085,9,0.3102,Negative,-0.5719,Cluster 9,🎓 Teaching Quality & Engagement
Academic Support and Resources,Limited access to technology and software is making it difficult to complete assignments and prepare for the workforce. It's a major issue for students.,24,1.94,2,1,M,Egypt,limited access to technology and software is making it difficult to complete assignments and prepare for the workforce its a major issue for students,Limited access to technology and software is making it difficult to complete assignments and prepare for the workforce. It's a major issue for students.,14.353858,1.0945652,10,0.3366,Negative,-0.5267,Cluster 10,💻 Online Learning & Platform Issues
Academic Support and Resources,The limited access to research databases and materials is making it hard to complete assignments and write papers. We need better access.,23,2.28,2,1,F,Egypt,the limited access to research databases and materials is making it hard to complete assignments and write papers we need better access,The limited access to research databases and materials is making it hard to complete assignments and write papers. We need better access.,10.337889,-0.6244683,3,0.98,Positive,0.1531,Cluster 3,🔬 Research & Technology Resources
